epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,506.56,0.46782,0.82289,0.63069,0.99572,0.60839,0.80906,0.736,0.65464,0.5871,0.77454,0.71763,0.54379,0.60328,1.08319,0.90532,1.17775,0.00110833,0.00110833,0.00110833
70,513.934,0.43718,0.70722,0.58227,0.96662,0.59097,0.86489,0.67077,0.61428,0.58808,0.83548,0.65129,0.51243,0.58187,1.10778,0.94415,1.17761,0.00110362,0.00110362,0.00110362
71,521.25,0.4852,0.87352,0.65002,1.00958,0.62636,0.74517,0.68436,0.61062,0.62636,0.74517,0.67287,0.52228,0.5836,1.12089,0.84582,1.18269,0.0010989,0.0010989,0.0010989
72,528.557,0.45161,0.76626,0.60531,0.98949,0.63853,0.70221,0.68666,0.60468,0.63853,0.70221,0.66511,0.50188,0.68821,1.70579,0.88503,1.28279,0.00109419,0.00109419,0.00109419
73,535.81,0.43075,0.70635,0.54248,0.96433,0.53693,0.79561,0.67028,0.60693,0.53693,0.79561,0.6613,0.54797,0.58557,1.28059,0.83358,1.17922,0.00108947,0.00108947,0.00108947
74,543.048,0.45172,0.84427,0.59124,0.98732,0.56775,0.83732,0.70854,0.64582,0.56775,0.83732,0.70022,0.57655,0.54682,1.15121,0.80075,1.0875,0.00108475,0.00108475,0.00108475
75,550.444,0.44382,0.78658,0.58496,0.98985,0.58204,0.73346,0.66533,0.60306,0.58204,0.73346,0.65332,0.52562,0.60612,1.71977,0.93493,1.23332,0.00108004,0.00108004,0.00108004
76,557.738,0.44655,0.78079,0.57981,0.97479,0.56335,0.82353,0.68811,0.60003,0.56335,0.82353,0.6751,0.52474,0.63092,1.56335,0.7836,1.2333,0.00107532,0.00107532,0.00107532
77,564.97,0.46216,0.75702,0.57235,0.96333,0.55764,0.86378,0.68171,0.58788,0.54301,0.83536,0.62808,0.49516,0.60481,1.30711,0.80892,1.19317,0.00107061,0.00107061,0.00107061
78,572.244,0.45062,0.70952,0.56129,0.95402,0.54021,0.71353,0.62875,0.54621,0.47587,0.6253,0.54755,0.45446,0.74907,1.71405,0.93642,1.45865,0.00106589,0.00106589,0.00106589
79,579.511,0.45173,0.72946,0.5722,0.97439,0.65971,0.72679,0.67078,0.6068,0.65971,0.72679,0.6458,0.51706,0.65187,1.37287,0.9054,1.3362,0.00106118,0.00106118,0.00106118
80,586.75,0.4363,0.71714,0.5551,0.96469,0.60926,0.8329,0.66495,0.59218,0.60926,0.8329,0.65732,0.51757,0.67009,1.20591,0.87945,1.25439,0.00105646,0.00105646,0.00105646
81,594.016,0.45071,0.75646,0.5938,0.96992,0.62699,0.73495,0.65887,0.58407,0.62699,0.73495,0.64904,0.50221,0.66093,1.12255,0.88601,1.2734,0.00105174,0.00105174,0.00105174
82,601.239,0.53764,0.79175,0.73832,1.12001,0.7279,0.63293,0.67087,0.60638,0.7279,0.63293,0.65977,0.50767,0.54739,1.10081,0.89293,1.1111,0.00104703,0.00104703,0.00104703
83,608.48,0.41747,0.75337,0.56447,0.94694,0.57707,0.76287,0.62924,0.57393,0.57707,0.76287,0.61662,0.5103,0.538,0.96372,0.91109,1.08357,0.00104231,0.00104231,0.00104231
84,615.746,0.45232,0.85323,0.57952,0.98545,0.70764,0.64522,0.67407,0.61527,0.70764,0.64522,0.67053,0.53949,0.55392,1.22052,0.92567,1.10246,0.0010376,0.0010376,0.0010376
